#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
evt_chancellor_304_desc_a;The assassins succeeded! The troublesome [Root.GetChancellorName] who was roaming around the county trying to fabricate a claim on my title is no more... And there is no trace leading back to me.;Les assassins ont réussi ! L'inquiétant [Root.GetChancellorName] qui rôdait dans la province pour essayer de fabriquer une revendication sur mon titre n'est plus... Et rien ne peut me mêler à tout cela.;Der Anschlag gelang! Der umtriebige [Root.GetChancellorName], der durch die Provinz streifte und versuchte, einen Anspruch auf meinen Titel zu fingieren, weilt nicht mehr unter uns ... und es gibt keine Spur, die zu mir führt.;;¡Los asesinos lo han conseguido! El problemático [Root.GetChancellorName] que merodeaba por la provincia preparando un falso alegato contra mi título dejará de molestar... Y no hay ninguna prueba que me incrimine.;;;;;;;;;x

# The liege is informed about the Chancellor's death
evt_chancellor_305_desc_a;During a mission to try and fabricate a claim to a title in [From.Location.GetName], my [Root.GetChancellorName] has been murdered!;Au cours d'une mission visant à essayer de fabriquer une revendication sur un titre de [From.Location.GetName], mon [Root.GetChancellorName] a été tué !;Während einer Mission, um einen Titelanspruch in [From.Location.GetName] zu fingieren, wurde mein [Root.GetChancellorName] ermordet!;;Durante mi ausencia, y en una misión para tratar de reclamar mi título en [From.Location.GetName], ¡han asesinado a mi [Root.GetChancellorName]!;;;;;;;;;x
evt_chancellor_305_option_a;How terrible!;C'est terrible !;Wie schrecklich!;;¡Es terrible!;;;;;;;;;x

# Noble is informed that the assassination attempt failed
evt_chancellor_306_desc_a;The assassins I sent failed miserably and the troublesome [FromFrom.GetMyChancellorName], [FromFrom.GetTitledName], continues his work to fabricate a claim on my title.;Les assassins que j'ai envoyés ont lamentablement échoué et l'inquiétant [FromFrom.GetMyChancellorName], [FromFrom.Get_le_TitledName], tente toujours de fabriquer une revendication sur mon titre.;Die Mörder, die ich aussandte, versagten kläglich bei dem Versuch, den umtriebigen [FromFrom.GetMyChancellorName] zu beseitigen. [FromFrom.GetTitledName] arbeitet weiter an einem fingierten Anspruch auf meinen Titel.;;Los asesinos que envié han fallado miserablemente y el problemático [Root.GetMyChancellorName], [From.GetTitledName], sigue preparando un alegato contra mi título.;;;;;;;;;x
evt_chancellor_306_option_a;Damn!;Bon sang !;Verdammt!;;¡Maldita sea!;;;;;;;;;x

# Noble tries to bribe Chancellor
evt_chancellor_307_desc_a;It has come to my attention that your work in [Root.Location.GetName] is aimed to fabricate a claim on my title. This is of course unacceptable but I am willing to offer you a small contribution to encourage you to 'forget' about this for some time.\n\nSincerely,\n[From.GetTitledName];J'ai appris que vous étiez à [Root.Location.GetName] pour fabriquer une revendication sur mon titre. C'est inacceptable, mais je veux bien vous offrir une petite contribution pour 'oublier' cela quelque temps.\n\nCordialement,\n[From.GetTitledName];Es ist mir zu Ohren gekommen, dass Eure Arbeit in [Root.Location.GetName] zum Ziel hat, einen Anspruch auf meinen Titel zu fingieren. Dies ist natürlich völlig inakzeptabel, aber ich bin gewillt, Euch eine kleine Spende zukommen zu lassen, um Euch zu ermutigen, die Angelegenheit für eine Weile zu "vergessen".\n\nErgebenst,\n[From.GetTitledName];;Ha llegado a mis oídos que el propósito de tu trabajo en [Root.Location.GetName] es falsificar un alegato contra mi título. Obviamente, esto es inaceptable, pero estoy dispuesto a ofrecerte una pequeña compensación para que olvidemos el asunto por un tiempo.\n\nAtentamente,\n[From.GetTitledName];;;;;;;;;x
evt_chancellor_307_option_a;I guess that could be arranged;Je suppose que cela peut s'arranger.;Ich denke, das könnte sich arrangieren lassen;;De acuerdo, por qué no.;;;;;;;;;x
evt_chancellor_307_option_a_tooltip;Send [From.GetHerHim] a letter;Je lui envoie une lettre.;[From.GetIhmIhr] einen Brief schicken;;Envíale una carta.;;;;;;;;;x
evt_chancellor_307_option_b;I would never betray my liege!;Je ne trahirai jamais m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige !;Ich würde nie meinen Lehnsherrn verraten!;;¡Jamás traicionaría a mi señor!;;;;;;;;;x
evt_chancellor_307_option_b_tooltip;Send the money back;Je renvoie l'argent.;Geld zurückschicken;;Devuelve el dinero.;;;;;;;;;x

# Noble is informed that the Chancellor accepted the bribe
evt_chancellor_308_desc_a;I have decided to accept your generous offer, and you can rest assure that I won't find anything that can be used to fabricate a claim within the next year...\n\nSincerely,\n[From.GetTitledName];J'ai décidé d'accepter votre offre généreuse et vous pouvez compter sur moi pour ne rien trouver qui pourrait faciliter la fabrication d'une revendication au cours de l'année à venir...\n\nCordialement,\n[From.GetTitledName];Ich habe entschieden, Euer großzügiges Angebot anzunehmen, und Ihr könnt Euch sicher sein, dass ich innerhalb des nächsten Jahres nichts finden werde, was zu einem fingierten Anspruch führen könnte ...\n\nErgebenst,\n[From.GetTitledName];;He decidido aceptar tu generosa oferta. Puedes estar seguro de que no encontraré nada que pueda usarse en tu contra para el alegato en el plazo de un año ...\n\nAtentamente,\n[From.GetTitledName];;;;;;;;;x

# Noble is informed that the Chancellor didn't accept the bribe
evt_chancellor_309_desc_a;Your shameful attempt to bribe me has not been able to make the slightest dent in my moral armor and I am sending back the money. No matter the amount of gold, I could never be persuaded to betray my liege!\n\nSigned,\n[From.GetTitledName];Votre honteuse tentative de corruption n'a en rien altérer mon moral d'acier et je vous renvoie l'argent. Quelle que soit la quantité d'or proposée, je ne trahirai jamais m[From.Liege.GetOnA] [From.Liege.GetLordLady] lige !\n\nSigné,\n[From.GetTitledName];Euer schändlicher Versuch, mich zu bestechen, hat nicht die kleinste Delle in meiner moralischen Rüstung hervorgebracht, und ich sende Euch das Geld zurück. Für keine Summe Goldes würde ich Verrat an meinem Lehnsherrn üben!\n\nGezeichnet,\n[From.GetTitledName];;Tu vergonzoso intento de soborno no ha hecho ni la más mínima mella en mi ética de acero. Te devuelvo el dinero. ¡Por mucho oro que me ofrezcan, nadie me convencerá jamás de traicionar a mi señor!\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
evt_chancellor_309_option_a;Damn him!;Bon sang !;Verflucht sei er!;;¡Maldito sea!;;;;;;;;;x


# The Chancellor sows dissent between a local noble and his liege
evt_chancellor_401_title;Vassal-Liege Opinion Lowered;Opinion vassal-seigneur lige dégradée;Meinung Vasall-Lehnsherr verringert;;Empeora la opinión mutua entre vasallo y señor;;;;;;;;;x
evt_chancellor_401_desc_a;It took all my skill and charm to sow distrust between a noble in [Root.Location.GetName] and his liege, but at last their relations lay in ruins.;J'ai dû user de toutes mes compétences et de mon charme pour semer la discorde entre un noble de [Root.Location.GetName] et son seigneur lige, mais j'ai finalement réussi, et leurs relations sont réduites à néant.;Es brauchte all meine Kunstfertigkeit und Charme, zwischen einem Adligen in [Root.Location.GetName] und seinem Lehnsherrn Misstrauen zu säen, aber nun liegt ihre Beziehung endlich in Scherben.;;Recurrí a toda mi simpatía y habilidad para sembrar la desconfianza entre un noble de [Root.Location.GetName] y su señor, pero al menos su relación ha quedado hecha añicos.;;;;;;;;;x
evt_chancellor_401_option_a;This should please my liege!;Voilà qui devrait plaire à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige !;Das sollte meinem Lehnsherrn gefallen!;;¡Mi señor estará encantado!;;;;;;;;;x

# The local noble start disliking his liege
evt_chancellor_402_desc_a;At first I could not believe it, but [From.GetTitledName] persisted and showed irrefutable evidence that my own liege, [Root.Liege.GetTitledName] distrust and despises me!;J'ai eu beaucoup de mal à le croire, mais [From.Get_le_TitledName] a persisté et avancé des preuves irréfutables indiquant que m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige, [Root.Liege.Get_le_TitledName], ne me fait pas confiance et me méprise !;Zuerst konnte ich es gar nicht glauben, aber [From.GetTitledName] zeigte mir unwiderrufliche Beweise, dass mein eigener Lehnsherr, [Root.Liege.GetTitledName], mir misstraut und mich hasst!;;¡No podía creerlo, pero [From.GetTitledName] insistió y me mostró evidencia irrefutable de que mi propio señor, [Root.Liege.GetTitledName] desconfía de mí y me detesta!;;;;;;;;;x
evt_chancellor_402_option_a;What an insult!;Quelle insulte !;Was eine Beleidigung!;;¡Es todo un insulto!;;;;;;;;;x
evt_chancellor_402_option_a_tooltip;Send an angry letter to [Root.Liege.GetTitledName];J'envoie une lettre pour exprimer ma colère [Root.Liege.Get_au_TitledName].;Geharnischten Brief an [Root.Liege.GetTitledName] schicken;;Envía una carta de enfado a [Root.Liege.GetTitledName].;;;;;;;;;x

# The liege of the local noble is informed
evt_chancellor_403_desc_a;[From.GetTitledName] accused me of distrusting him and claimed to have evidence of my betrayal! I don't know where he have gotten these ideas from.;[From.Get_Le_TitledName] m'a accusé de ne pas lui faire confiance et avancé des preuves attestant de ma trahison ! Je ne sais pas d'où lui viennent de telles idées.;[From.GetTitledName] klagte mich an, ihm zu misstrauen, und behauptete, Beweise für meinen Verrat zu haben! Mir ist schleierhaft, woher er diese Ideen hat.;;¡[From.GetTitledName] me acusó de desconfiar de él y dijo que tenía pruebas de mi traición! No sé quién le habrá metido esas cosas en la cabeza.;;;;;;;;;x
evt_chancellor_403_option_a;What an idiot!;Quel imbécile !;Was ein Schwachkopf!;;¡Vaya idiota!;;;;;;;;;x

# The liege of the Chancellor is informed
evt_chancellor_404_desc_a;My liege, I have managed to sow distrust between [From.GetTitledName] and [From.GetHerHis] liege [From.Liege.GetTitledFirstName]. I hope this pleases you.\n\nYour humble [Root.GetMyChancellorName],\n[Root.job_chancellor.GetTitledName];M[Root.GetOnA][Root.GetLordLady], \nJ'ai réussi à semer la discorde entre [From.Get_le_TitledName] et s[From.Liege.GetOnA] [From.Liege.GetLordLady] lige, [From.Liege.Get_le_TitledFirstName]. J'espère que cela vous satisfera.\n\nVotre humble [Root.GetMyChancellorName],\n[Root.job_chancellor.GetTitledName];Mein Lehnsherr, ich habe erfolgreich Misstrauen zwischen [From.GetTitledName] und [From.GetHerHis]em Lehnsherrn gesät. Ich hoffe, das wird Euch erfreuen.\n\nEuer ergebener [Root.GetMyChancellorName],\n[Root.job_chancellor.GetTitledName];;Mi señor, he logrado sembrar la desconfianza entre [From.GetTitledName] y su señor. Espero que esto le satisfaga.\n\nSu humilde [Root.GetMyChancellorName],\n[Root.job_chancellor.GetTitledName];;;;;;;;;x
evt_chancellor_404_option_a;Fantastic!;Fantastique !;Fantastisch!;;¡Fantástico!;;;;;;;;;x


# Chancellor Discovered
evt_chancellor_501_title;[Root.GetMyChancellorName] Discovered;[Root.GetMyChancellorName] démasqué;[Root.GetMyChancellorName] ertappt;;[Root.GetMyChancellorName] descubierto;;;;;;;;;x
evt_chancellor_501_desc_a;I have been sent to [From.Location.GetName] to secretly create unrest between the local nobles and their liege, but it seems that at least one of them has seen my real motive and I fear he might inform his liege about this, or even imprison me!.;Je me trouve actuellement à [From.Location.GetName] pour secrètement semer la discorde entre les nobles locaux et leur seigneur lige, mais il semble qu'au moins un d'entre eux ait compris mes réelles motivations et je crains qu'il en informe son seigneur, voire qu'il m'emprisonne !;Ich wurde nach [From.Location.GetName] geschickt, um im Geheimen Unfrieden zwischen den hiesigen Adligen und ihrem Lehnsherrn zu stiften, aber es scheint, dass mindestens einer von ihnen meine wahren Beweggründe erkannt hat. Nun fürchte ich, dass er seinen Lehnsherrn davon in Kenntnis setzt oder mich gar einkerkern wird!;;Me envían de [From.Location.GetName] para sembrar la discordia entre los nobles de la región y su señor, pero parece que al menos uno de ellos ha descubierto mi propósito y temo que pueda informar a su señor ¡o incluso meterme en prisión!;;;;;;;;;x
evt_chancellor_501_option_a;Most worrisome...;C'est très inquiétant...;Höchst beunruhigend ...;;Realmente preocupante...;;;;;;;;;x
evt_chancellor_501_option_a_tooltip;A noble in [Root.Location.GetName] reacts;Un noble de [Root.Location.GetName] réagit.;Ein Adliger in [Root.Location.GetName] reagiert;;Un noble de [Root.Location.GetName] reacciona.;;;;;;;;;x

# The local noble is informed
evt_chancellor_502_desc_a;It seems that the [Root.GetChancellorName] of [From.Host.PrimaryTitle.GetName], [From.GetTitledName], has been hard at work in [From.Location.GetName] trying to spread unrest among us local nobles and turn us against my liege [Root.Liege.GetTitledName]. What should I do about this troublesome character?;Visiblement, le [Root.GetChancellorName] [From.Host.PrimaryTitle.Get_du_Realm], [From.Get_le_TitledName], est venu à [From.Location.GetName] pour semer la discorde entre les nobles locaux et nous monter contre notre [Root.Liege.GetLordLady] lige, [Root.Liege.Get_le_TitledName]. Que dois-je faire contre cet inquiétant personnage ?;Es scheint, dass der [Root.GetChancellorName] von [From.Host.PrimaryTitle.GetName], [From.GetTitledName], sich in [From.Location.GetName] stark bemüht hat, Unmut unter uns zu säen und uns gegen meinen Lehnsherrn [Root.Liege.GetTitledName] aufzubringen. Was soll ich mit diesem unangenehmen Menschen tun?;;Parece que el [Root.GetChancellorName] de [From.Host.PrimaryTitle.GetName], [From.GetTitledName] ha dedicado muchos esfuerzos a poner discordia entre los nobles de [From.Location.GetName] y ponernos en contra de su señoría [Root.Liege.GetTitledName]. ¿Qué debería hacer con este alborotador?;;;;;;;;;x
evt_chancellor_502_option_a;Imprison [From.GetHerHim]!;Jetez-le en prison !;Einkerkern!;;¡Arrestadle!;;;;;;;;;x
evt_chancellor_502_option_b;This is [From.GetHerHis] liege's doing!;Il agit sur ordre de son seigneur lige !;Das ist das Werk [From.GetHerHis]es Lehnsherrn!;;¡Esto es obra de su señor!;;;;;;;;;x

# Unused?
EVTTOOLTIP20172;A letter is sent to my liege;Une lettre a été envoyée à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige.;Ein Brief wird an meinen Lehnsherrn gesandt;;Se ha enviado una carta a mi señor.;;;;;;;;;x

# The Chancellor is imprisoned
evt_chancellor_503_desc_a;[From.GetTitledName] completely overreacted to my most innocent visit to [From.Location.GetName] and decided to imprison me!;[From.Get_Le_TitledName] a réagi de manière exagérée à ma venue, en toute innocence, à [From.Location.GetName] et décidé de m'emprisonner !;[From.GetTitledName] überreagierte wegen meines unschuldigen Besuches in [From.Location.GetName] und warf mich in den Kerker!;;¡[From.GetTitledName] ha reaccionado exageradamente ante mi inocente visita a [From.Location.GetName] y ha decidido encarcelarme!;;;;;;;;;x
evt_chancellor_503_option_a;What will become of me now?;Que vais-je devenir maintenant ?;Was wird nun aus mir werden?;;¿Y ahora qué será de mí?;;;;;;;;;x

# The Chancellor's liege is informed about imprisonment
evt_chancellor_504_desc_a;My lord, your [Root.GetMyChancellorName] [FromFrom.GetTitledName] tried to encourage me to turn against my liege [From.Liege.GetTitledName]! This shameless act can not go unpunished and to stop further interference I have thus decided to imprison your [Root.GetMyChancellorName] for an indefinite period of time.\n\nSigned,\n[From.GetTitledName];[Root.PrimaryTitle.GetFOA], votre [Root.GetMyChancellorName], [FromFrom.Get_le_TitledName], a essayé de m'encourager à me retourner contre m[From.Liege.GetOnA] [From.Liege.GetLordLady] lige [From.Liege.GetTitledName] ! Cet acte honteux ne doit pas rester impuni et pour empêcher toute immixtion future, j'ai décidé d'emprisonner votre [Root.GetMyChancellorName] pour une période indéfinie.\n\nSigné,\n[From.GetTitledName];Mein Lord, Euer [Root.GetChancellorName], [FromFrom.GetTitledName], hat versucht mich dazu zu bringen, mich gegen meinen Lehnsherren [From.Liege.GetTitledName] zu wenden! Dies ist ein schamloser Akt, der nicht ungestraft bleiben darf - um weitere Einmischung zu verhindern, habe ich beschlossen, Euren [Root.GetChancellorName] für unbestimmte Zeit einkerkern zu lassen.\n\nGezeichnet,\n[From.GetTitledName];;Mi señor, su [Root.GetMyChancellorName][From.GetTitledName] ha intentado que me enfrente contra mi señor [From.Liege.GetTitledFirstName]. Esta vergonzosa acción no puede quedar impune y para evitar futuras interferencias, he decidido encarcelar a [Root.GetMyChancellorName] por un período de tiempo indefinido.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
evt_chancellor_504_option_a;Outrageous!;C'est un scandale !;Skandalös!;;¡Es insólito!;;;;;;;;;x

# The local noble informs his liege about imprisonment
evt_chancellor_505_desc_a;My liege, I discovered that the [Root.GetChancellorName] of [FromFrom.Liege.GetTitledName] has been agitating in [From.Location.GetName], trying to turn us local nobles against you. Rest assure that his poisonous word has had no effect on me, and to make sure no more harm is done, I have imprisoned him.\n\nYour humble Vassal,\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady], \nJ'ai découvert que le [Root.GetChancellorName] [FromFrom.Liege.Get_du_TitledName] est venu à [From.Location.GetName] pour tenter de nous monter, nous, les nobles locaux, contre vous. N'ayez crainte, ses propos maléfiques n'ont aucune prise sur moi, mais pour déjouer ses plans, je l'ai emprisonné.\n\nVotre humble vassal,\n[From.GetTitledName];Mein Lehnsherr, ich habe entdeckt, dass der [Root.GetChancellorName] von [FromFrom.Liege.GetTitledName] in [From.Location.GetName] versucht hat, uns örtliche Adlige gegen Euch aufzuhetzen. Seid versichert, dass seine giftige Zunge keinen Einfluss auf mich hatte. Um sicherzustellen, dass nicht noch mehr Schaden entsteht, habe ich ihn eingekerkert.\n\nEuer ergebener Vasall,\n[From.GetTitledName];;Mi señor, he descubierto que el [Root.GetChancellorName] de [FromFrom.Liege.GetTitledName] ha provocado disturbios en [From.Location.GetName] intentando que los nobles nos pusiéramos en su contra. Le aseguro que sus venenosas palabras no han influido en mí. Para evitar que haga más daño, lo he encarcelado.\n\nSu humilde vasallo,\n[From.GetTitledName];;;;;;;;;x
evt_chancellor_505_option_a;[FromFrom.Liege.GetTitledName] will hear about this!;[FromFrom.Liege.Get_Le_TitledName] va en entendre parler !;[FromFrom.Liege.GetTitledName] wird davon zu hören bekommen!;;¡Vaya si [FromFrom.Liege.GetTitledName] se va a enterar!;;;;;;;;;x

# The Chancellor's liege is informed about the reaction of the noble
evt_chancellor_506_desc_a;My lord, your [Root.GetChancellorName] [FromFrom.GetTitledName] has been trying to create unrest among the nobles in [From.Location.GetName] and tried to encourage me to turn against my liege [From.Liege.GetTitledName]! He failed miserably and I can assure you that this shameless act will not go by without consequences.\n\nSigned,\n[From.GetTitledName];[Root.PrimaryTitle.GetFOA], \nVotre [Root.GetChancellorName] [FromFrom.GetTitledName] a tenté de semer l'agitation parmi les nobles de [From.Location.GetName] et a voulu me pousser à me retourner contre m[From.Liege.GetOnA] [From.Liege.GetLordLady] lige [From.Liege.GetTitledName] ! Il a misérablement échoué, et je peux vous assurer que cet acte odieux ne restera pas impuni.\n\nSigné,\n[From.GetTitledName];Der [Root.GetChancellorName] Eurer Exzellenz, [FromFrom.GetTitledName] hat den Versuch unternommen, beim Adel in [From.Location.GetName] Unruhe zu schüren, und wollte mich ermutigen, mich gegen meinen Lehnsherren [From.Liege.GetTitledName] zu wenden! Sein Unterfangen war ein Fehlschlag auf der ganzen Linie. Dies wird nicht ungesühnt bleiben!\n\nGezeichnet,\n[From.GetTitledName];;¡Señor! ¡Vuestro [Root.GetChancellorName] [FromFrom.GetTitledName] ha intentado sembrar la discordia entre los nobles de [From.Location.GetName] y me ha instado a rebelarme contra mi señor [From.Liege.GetTitledName]! Su fracaso ha sido rotundo y os aseguro que este acto vergonzoso tendrá repercusiones.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
evt_chancellor_506_option_a;This is not good...;Ce n'est pas bon...;Das ist nicht gut ...;;Esto no tiene buena pinta...;;;;;;;;;x

# The local noble informs his liege about the Chancellor's doing
evt_chancellor_507_desc_a;My liege, I discovered that the [Root.GetChancellorName] of [FromFrom.Liege.GetTitledName] has been agitating in [From.Location.GetName], trying to turn us local nobles against you. Rest assure that his poisonous word has had no effect on me.\n\nYour humble Vassal,\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady], \nJ'ai découvert que le [Root.GetChancellorName] [FromFrom.Liege.Get_du_TitledName] est venu à [From.Location.GetName] pour tenter de nous monter, nous, les nobles locaux, contre vous. N'ayez crainte, ses propos maléfiques n'ont aucune prise sur moi.\n\nVotre humble vassal,\n[From.GetTitledName];Mein Lehnsherr, ich habe entdeckt, dass der [Root.GetChancellorName] von [FromFrom.Liege.GetTitledName] in [From.Location.GetName] versucht hat, uns hiesige Adlige gegen Euch aufzuhetzen. Seid versichert, dass seine giftige Zunge Rest keinen Einfluss auf mich hatte. Um sicherzustellen, dass nicht noch mehr Schaden entsteht, habe ich ihn eingekerkert.\n\nEuer ergebener Vasall,\n[From.GetTitledName];;Mi señor, he descubierto que el [Root.GetChancellorName] de [FromFrom.Liege.GetTitledName] ha provocado disturbios en [From.Location.GetName] intentando que los nobles nos pusiéramos en su contra. Le aseguro que sus venenosas palabras no han influido en mí.\n\nSu humilde vasallo,\n[From.GetTitledName];;;;;;;;;x
evt_chancellor_507_option_a;[FromFrom.Liege.GetTitledName] will hear about this!;[FromFrom.Liege.Get_Le_TitledName] va en entendre parler !;[FromFrom.Liege.GetTitledName] wird davon zu hören bekommen!;;¡Vaya si [FromFrom.Liege.GetTitledName] se va a enterar!;;;;;;;;;x

# The Chancellor's liege is informed about the reaction of the noble's liege
evt_chancellor_508_desc_a;I have received word that your [Root.GetMyChancellorName] was trying to agitate the nobles of my realm by spreading lies about me in [FromFrom.Location.GetName]! Rest assure that this outrageous behavior will not stand!\n\nSigned,\n[From.GetTitledName];J'ai appris que votre [Root.GetMyChancellorName] essaie de semer la discorde parmi les nobles sous mon autorité en répandant des mensonges me concernant à [FromFrom.Location.GetName] ! Je vous prie de croire que de tels agissements ne resteront pas impunis !\n\nSigné,\n[From.GetTitledName];Ich habe vernommen, dass Euer [Root.GetMyChancellorName] versuchte, die Adligen meines Reichs aufzuhetzen, indem er in [FromFrom.Location.GetName] Lügen verbreitete! Seid versichert, dass ich diese Tat nicht ungesühnt lassen werde!\n\nGezeichnet,\n[From.GetTitledName];;¡Ha llegado a mis oídos que el [Root.GetMyChancellorName] intentaba sembrar la discordia entre los nobles de mi reino difundiendo mentiras sobre mí en  [FromFrom.Location.GetName]! ¡Puedo asegurarle que no toleraré semejante afrenta!\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
evt_chancellor_508_option_a;Not what I had planned...;Ce n'est pas ce que j'avais prévu...;Nicht, was ich geplant hatte ...;;No es lo que había planeado...;;;;;;;;;x

# The Chancellor successfully increases the sentiment of the local clan
evt_chancellor_601_title;An Honorable Mention;Une mention honorable;Lobende Anerkennung;;Una mención honorífica;;;;;;;;;x
evt_chancellor_601_desc_a;Most of the Clan elders are assembled in [Root.Location.GetName]. This is a golden opportunity to tell them about the great honor of [Root.Liege.GetTitledFirstNameNoRegnal]'s clan...;La plupart des anciens du clan se sont réunis à [Root.Location.GetName]. Voici l'opportunité parfaite de leur parler du grand honneur du clan [Root.Liege.Get_only_du_Title][Root.Liege.GetTitledFirstNameNoRegnal]...;Der Großteil der Klanältesten ist in [Root.Location.GetName] zusammengekommen. Das ist die perfekte Gelegenheit, um ihnen davon zu berichten, wie ruhmreich der Klan von [Root.Liege.GetTitledFirstNameNoRegnal] ist ...;;La mayoría de los ancianos de los clanes se reúnen en [Root.Location.GetName]. Esta es una oportunidad de oro para informarles sobre el gran honor del clan de [Root.Liege.GetTitledFirstNameNoRegnal]...;;;;;;;;;x
evt_chancellor_601_option_a;Spin them such a tale...;Je vais leur raconter une de ces histoires...;Erzählt ihnen, was sie hören wollen...;;Cuéntales un cuento tal...;;;;;;;;;x
evt_chancellor_601_option_b;What 'great honor'?;C'est quoi, un « grand honneur » ?;Wie bitte? Ruhmreich?;;¿Qué 'gran honor'?;;;;;;;;;x

# The liege is informed of the success
evt_chancellor_602_desc_a;My trusted [Root.GetChancellorName], [From.GetTitledFirstName], reports success from the Clan of [target_chief.Clan.GetBaseName]. Their elders now like the [Root.Clan.GetName] a lot better!;[From.Get_Le_TitledFirstName], en qui j'ai confiance et qui occupe le poste de [Root.GetChancellorName], m'a fait part du succès du clan de [target_chief.Clan.GetBaseName]. Leurs anciens apprécient désormais d'autant plus le clan [Root.Clan.GetName] !;Mein treuer [Root.GetChancellorName], [From.GetTitledFirstName], berichtet über Erfolge beim Klan von [target_chief.Clan.GetBaseName]. Die Klanältesten haben nun eine wesentlich bessere Meinung von den [Root.Clan.GetName]!;;Mi leal [Root.GetChancellorName], [From.GetTitledFirstName], informa del éxito del clan de [target_chief.Clan.GetBaseName]. ¡A sus ancianos ahora les gusto mucho más el [Root.Clan.GetName]!;;;;;;;;;x
